sample	DADA2_input	filtered	denoisedF	denoisedR	merged	nonchim
SRR8571581	5936	4943	4927	4907	4904	4904
SRR8571582	24462	21956	21910	21914	21856	21649
SRR8571583	5550	3159	3126	3062	2760	2760
SRR8571584	30706	19665	19444	19276	18236	18130
SRR8571585	12586	7707	7599	7545	7504	7436
SRR8571586	39483	34647	34545	34547	34326	33921
SRR8571587	55963	31534	31175	31198	28995	28583
SRR8571588	84615	60608	59551	59534	56502	55986
SRR8571589	2324	1919	1897	1877	1874	1874
SRR8571590	11982	6357	6198	6092	5848	5835
SRR8571591	1855	655	610	522	418	418
SRR8571592	489478	328160	327498	327518	272460	261530
SRR8571593	4875	4109	4065	4056	4026	4007
SRR8571594	34873	22214	22055	21879	20512	20410
SRR8571595	646	166	121	107	104	104
SRR8571596	11615	6056	5925	5787	5288	5277
SRR8571597	42110	26525	26238	25930	24004	23755
SRR8571598	65684	52001	51702	51574	50816	48903
SRR8571599	89664	76089	75860	75797	75235	72956
SRR8571600	83964	70164	69889	69757	68701	66720
SRR8571601	120550	97113	96643	96345	94611	89142
SRR8571602	45919	34244	34083	34060	33057	32901
SRR8571603	32308	18062	17825	17745	16558	16490
SRR8571604	119323	76086	75890	75877	58161	58080
SRR8571605	33547	25738	25630	25533	23931	23914
SRR8571606	194601	104410	104027	104052	76150	74796
SRR8571607	13789	10672	10397	10307	9967	9958
SRR8571608	39577	18412	17996	17453	16760	16647
SRR8571609	65900	27567	27225	26691	25931	25896
SRR8571610	63473	38337	37810	37723	35989	35788
SRR8571611	45260	26270	25801	25172	24416	24333
SRR8571612	44449	32008	31774	31772	30939	30249
SRR8571613	56501	47838	47737	47643	47332	46671
SRR8571614	13565	10432	10133	10098	9910	9903
SRR8571615	19714	14615	14487	14353	14227	14093
SRR8571616	16376	12352	12264	12271	12124	11970
SRR8571617	1720	571	443	374	276	276
SRR8571618	36229	22154	21978	21678	20726	20634
SRR8571619	15285	13238	13218	13195	13170	13170
SRR8571620	425856	279234	278881	278387	197819	197028
SRR8571621	12717	9680	9369	9224	8904	8901
SRR8571622	91748	76189	75813	75652	74427	70709
SRR8571623	5496	3972	3723	3643	3381	3381
SRR8571624	19922	14957	14622	14579	13888	13875
SRR8571625	43003	32299	31979	31914	31167	30372
SRR8571626	14595	8239	8081	7971	7278	7270
SRR8571627	60194	48123	47797	47707	46960	46138
SRR8571628	82651	72008	71693	71719	71166	68863
SRR8571629	12789	11056	11011	10964	10840	10649
SRR8571630	22603	19820	19764	19722	19576	19493
